2022-05-02 11:13:07 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2022-05-02 11:13:07 0 [Note] InnoDB: Uses event mutexes
2022-05-02 11:13:07 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2022-05-02 11:13:07 0 [Note] InnoDB: Number of pools: 1
2022-05-02 11:13:07 0 [Note] InnoDB: Using SSE2 crc32 instructions
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=253] with future log sequence number 268283124
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=320] with future log sequence number 268283124
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=252] with future log sequence number 268283080
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=346] with future log sequence number 268283080
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=251] with future log sequence number 268282973
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=403] with future log sequence number 268282973
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=249] with future log sequence number 268282929
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=392] with future log sequence number 268282929
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=248] with future log sequence number 268282869
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=386] with future log sequence number 268282869
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=247] with future log sequence number 268282825
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=427] with future log sequence number 268282825
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=246] with future log sequence number 268282781
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=306] with future log sequence number 268282781
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=245] with future log sequence number 268282737
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=401] with future log sequence number 268282737
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=244] with future log sequence number 268282693
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=426] with future log sequence number 268282693
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=242] with future log sequence number 268282649
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=326] with future log sequence number 268282649
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=241] with future log sequence number 268282605
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=422] with future log sequence number 268282605
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=240] with future log sequence number 268282561
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=324] with future log sequence number 268282561
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=239] with future log sequence number 268282517
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=425] with future log sequence number 268282517
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=238] with future log sequence number 268282473
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=416] with future log sequence number 268282473
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=235] with future log sequence number 268282429
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=325] with future log sequence number 268282429
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=234] with future log sequence number 268282385
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=389] with future log sequence number 268282385
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=233] with future log sequence number 268282325
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=321] with future log sequence number 268282325
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=232] with future log sequence number 268282281
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=412] with future log sequence number 268282281
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=231] with future log sequence number 268282237
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=375] with future log sequence number 268282237
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=230] with future log sequence number 268282193
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=447] with future log sequence number 268282193
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 268282149
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=395] with future log sequence number 268282149
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 268282105
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=390] with future log sequence number 268282105
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 268282061
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=198] with future log sequence number 268389622
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=328] with future log sequence number 268389622
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=196] with future log sequence number 268389370
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=384] with future log sequence number 268389370
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=195] with future log sequence number 268389326
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=410] with future log sequence number 268389326
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=194] with future log sequence number 268389282
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=423] with future log sequence number 268389282
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=193] with future log sequence number 268389238
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=210] with future log sequence number 268394916
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=383] with future log sequence number 268394916
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=209] with future log sequence number 268394684
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=5] with future log sequence number 268395110
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=336] with future log sequence number 268394684
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=208] with future log sequence number 268392049
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 268395130
2022-05-02 11:13:07 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=360] with future log sequence number 268392049
